"custo";"valor_custo";"flag_fixo";"flag_variavel";"flag_pendente";"data_base";"semana";"data_custo";"tipo_custo";"dt_pagto_bq";"dt_custo_bq"
"UNICEF";55;1;0;0;"01/11/2018";"1ª semana";"16/11/2018";"doação";"2018-11-01";"2018-11-16"
"UNICEF";55;1;0;0;"01/12/2018";"1ª semana";"15/12/2018";"doação";"2018-12-01";"2018-12-15"
"unha michelle";35;0;1;0;"01/05/2018";"2ª semana";"09/05/2018";"compras";"2018-05-01";"2018-05-09"
"tolezano";"16.15";0;1;0;"01/01/2018";"1ª semana";"22/12/2017";"mercado";"2018-01-01";"2017-12-22"
"tolezano";"8.55";0;1;0;"01/01/2018";"1ª semana";"26/12/2017";"mercado";"2018-01-01";"2017-12-26"
"tolezano";"16.11";0;1;0;"01/01/2018";"1ª semana";"27/12/2017";"mercado";"2018-01-01";"2017-12-27"
"tolezano";"12.39";0;1;0;"01/01/2018";"1ª semana";"06/01/2018";"mercado";"2018-01-01";"2018-01-06"
"tolezano";"5.45";0;1;0;"01/01/2018";"3ª semana";"24/01/2018";"mercado";"2018-01-01";"2018-01-24"
"tolezano";"7.94";0;1;0;"01/02/2018";"3ª semana";"11/02/2018";"mercado";"2018-02-01";"2018-02-11"
"tolezano";"3.5";0;1;0;"01/03/2018";"2ª semana";"07/03/2018";"mercado";"2018-03-01";"2018-03-07"
"tolezano";"30.2";0;1;0;"01/04/2018";"3ª semana";"17/04/2018";"mercado";"2018-04-01";"2018-04-17"
"tolezano";"9.04";0;1;0;"01/04/2018";"3ª semana";"18/04/2018";"mercado";"2018-04-01";"2018-04-18"
"tolezano";"13.98";0;1;0;"01/12/2018";"1ª semana";"30/12/2019";"mercado";"2018-12-01";"2019-12-30"
"tolezano";"34.38";0;1;0;"01/12/2018";"1ª semana";"30/12/2019";"mercado";"2018-12-01";"2019-12-30"
"tolezano";"34.79";0;1;0;"01/12/2018";"1ª semana";"30/12/2019";"mercado";"2018-12-01";"2019-12-30"
"tolezano";"20.5";0;1;0;"01/12/2018";"1ª semana";"30/12/2019";"mercado";"2018-12-01";"2019-12-30"
"tido co";"4.5";0;1;0;"01/12/2018";"1ª semana";"03/12/2018";"alimentação";"2018-12-01";"2018-12-03"
"tenis";"29.99";0;1;0;"01/10/2018";"1ª semana";"09/10/2018";"compras";"2018-10-01";"2018-10-09"
"tcell";"7.5";0;1;0;"01/10/2018";"1ª semana";"23/10/2018";"compras";"2018-10-01";"2018-10-23"
"taxa conta corrente";"69.95";1;0;0;"01/01/2018";"1ª semana";"03/01/2018";"banco";"2018-01-01";"2018-01-03"
"taxa conta corrente";"69.95";1;0;0;"01/02/2018";"1ª semana";"02/02/2018";"banco";"2018-02-01";"2018-02-02"
"taxa conta corrente";"69.95";1;0;0;"01/03/2018";"1ª semana";"02/03/2018";"banco";"2018-03-01";"2018-03-02"
"taxa conta corrente";"72.5";1;0;0;"01/04/2018";"1ª semana";"03/04/2018";"banco";"2018-04-01";"2018-04-03"
"taxa conta corrente";"72.5";1;0;0;"01/05/2018";"1ª semana";"04/05/2018";"banco";"2018-05-01";"2018-05-04"
"taxa conta corrente";"72.5";1;0;0;"01/06/2018";"1ª semana";"04/06/2018";"banco";"2018-06-01";"2018-06-04"
"taxa conta corrente";"72.5";1;0;0;"01/07/2018";"1ª semana";"03/07/2018";"banco";"2018-07-01";"2018-07-03"
"taxa conta corrente";"72.5";1;0;0;"01/08/2018";"1ª semana";"02/08/2018";"banco";"2018-08-01";"2018-08-02"
"taxa conta corrente";"72.5";1;0;0;"01/09/2018";"1ª semana";"04/09/2018";"banco";"2018-09-01";"2018-09-04"
"taxa conta corrente";"74.65";1;0;0;"01/10/2018";"1ª semana";"02/10/2018";"banco";"2018-10-01";"2018-10-02"
"taxa conta corrente";"74.65";1;0;0;"01/11/2018";"1ª semana";"05/11/2018";"banco";"2018-11-01";"2018-11-05"
"taxa conta corrente";"74.65";1;0;0;"01/12/2018";"1ª semana";"01/12/2018";"banco";"2018-12-01";"2018-12-01"
"tapioca velox";10;0;1;0;"01/09/2018";"1ª semana";"05/09/2018";"alimentação";"2018-09-01";"2018-09-05"
"tapioca";"17.3";0;1;0;"01/07/2018";"1ª semana";"06/07/2018";"alimentação";"2018-07-01";"2018-07-06"
"tapioca";13;0;1;0;"01/07/2018";"5ª semana";"30/07/2018";"alimentação";"2018-07-01";"2018-07-30"
"tapioca";"13.84";0;1;0;"01/09/2018";"4ª semana";"24/09/2018";"alimentação";"2018-09-01";"2018-09-24"
