"de_para";"valor";
"ELECTRONFRANGOS E V";"alimentação";
"ELECTRONJ E VERDURA";"feira";
"ELECTRONMARIA LUCIA";"compras";
"ELECTRONPAG*diegoej";"compras";
"ELECTRONPAG*Antonio";"compras";
"ELECTRONPAG*Severin";"compras";
"ELECTRONS KOMESU MA";"compras";
"ELECTRONSONDA JACAN";"mercado";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONAUTO POSTO";"gasolina";
"ELECTRONBANCA DUDUC";"compras";
"ELECTRONBANCA DUDUC";"compras";
"ELECTRONBOM FILET";"compras";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"ELECTRONANDORINHA H";"mercado";
"ELECTRONANDORINHA H";"mercado";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"SALDO APLIC AUT MAIS";"saldo";
"ELECTRONROTA CANTAR";"compras";
"INT TED 237284600601853";"seguro";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"SAQUE 24H 08741753 24/05";"saque";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONSTELO*Banca";"compras";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"SALDO APLIC AUT MAIS";"saldo";
"SALDO APLIC AUT MAIS";"saldo";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONDROGARIA PR";"farmacia";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"ELECTRONADEGA DO AL";"alimentação";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONDEPOSITO DO";"alimentação";
"SALDO PARCIAL";"saldo";
"SALDO ANTERIOR";"saldo";
"ELECTRONFERNANDA GO";"compras";
"ELECTRONO REI 1";"compras";
"ELECTRONPAG*hprospe";"compras";
"RES APLIC AUT MAIS";"banco";
"SALDO FINAL";"saldo";
"SALDO ANTERIOR";"saldo";
"ELECTRONDROGARIA SA";"farmacia";
"ELECTRONEURIPEDES D";"compras";
"ELECTRONFEIRANTE";"feira";
"ELECTRONMARTINS & R";"compras";
"ELECTRONPAG*galasso";"compras";
"ELECTRONPAG*Geraldo";"compras";
"ELECTRONPAG*PerfecS";"compras";
"ELECTRONPAG*RafaelF";"compras";
"ELECTRONSONDA JACAN";"mercado";
"SALDO DO DIA";"saldo";
"ELECTRONARIZONA PAE";"padaria";
"TAR PACOTE ITAU   MAI/20";"banco";
"SALDO DO DIA";"saldo";
"ELECTRONADEGA DO AL";"alimentação";
"ELECTRONASSAI ATACA";"mercado";
"ELECTRONDROGARIA PR";"farmacia";
"SALDO DO DIA";"saldo";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONB LA MILETT";"compras";
"ELECTRONDROGARIA PR";"farmacia";
"SALDO DO DIA";"saldo";
"SAQUE 24H 14645709 07/06";"saque";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONATACADAO DA";"mercado";
