descrição;data;lançamento;ag./origem;valor (R$);valor_convertido_saida (R$);valor_convertido_entrada (R$);REF;dt_pagto_bq;dt_custo_bq
boleto;19/02/2020;INT DOC 260000135246778;4175;-90;90;0;01/02/2020;2020-02-01;2020-02-19
mercado;20/02/2020;ELECTRONMERCADOPAGO;9212;-3,5;3.5;0;01/02/2020;2020-02-01;2020-02-20
compras;20/02/2020;ELECTRONSHOKITI;9212;-2,99;2.99;0;01/02/2020;2020-02-01;2020-02-20
academia;20/02/2020;ELECTRONSUA ACADEMI;9212;-115,28;115.28;0;01/02/2020;2020-02-01;2020-02-20
compras;21/02/2020;ELECTRONPAG*VictorM;9212;-25;25;0;01/02/2020;2020-02-01;2020-02-21
compras;21/02/2020;ELECTRONPAG*WpaperM;9212;-12,5;12.5;0;01/02/2020;2020-02-01;2020-02-21
compras;21/02/2020;ELECTRONPOINT DO SU;9212;-5,5;5.5;0;01/02/2020;2020-02-01;2020-02-21
farmacia;21/02/2020;ELECTRONPROMO FARMA;9212;-19,99;19.99;0;01/02/2020;2020-02-01;2020-02-21
saque;26/02/2020;CXE 000273 SAQUE 22/02;6855;-100;100;0;01/02/2020;2020-02-01;2020-02-26
gasolina;26/02/2020;ELECTRONAUTO POSTO;9212;-231,95;231.95;0;01/02/2020;2020-02-01;2020-02-26
alimentação;26/02/2020;ELECTRONBK SHOPPING;9212;-23,8;23.8;0;01/02/2020;2020-02-01;2020-02-26
alimentação;26/02/2020;ELECTRONCHICO HAMBU;9212;-41;41;0;01/02/2020;2020-02-01;2020-02-26
feira;26/02/2020;ELECTRONFEIRANTE;9212;-6,5;6.5;0;01/02/2020;2020-02-01;2020-02-26
compras;26/02/2020;ELECTRONINDIGO;9212;-14;14;0;01/02/2020;2020-02-01;2020-02-26
compras;26/02/2020;ELECTRONLEVI DA SIL;9212;-10;10;0;01/02/2020;2020-02-01;2020-02-26
compras;26/02/2020;ELECTRONLIVORNO EXP;9212;-47,96;47.96;0;01/02/2020;2020-02-01;2020-02-26
compras;26/02/2020;ELECTRONMILLENIUM P;9212;-11;11;0;01/02/2020;2020-02-01;2020-02-26
mercado;26/02/2020;ELECTRONOURINHOS SU;9212;-55,69;55.69;0;01/02/2020;2020-02-01;2020-02-26
compras;26/02/2020;ELECTRONPAG*Familia;9212;-20;20;0;01/02/2020;2020-02-01;2020-02-26
compras;26/02/2020;ELECTRONPAG*Valdeci;9212;-6;6;0;01/02/2020;2020-02-01;2020-02-26
lazer;26/02/2020;ELECTRONPLAYCENTER;9212;-83;83;0;01/02/2020;2020-02-01;2020-02-26
