"descrição";"data";"lançamento";"ag./origem";"valor (R$)";"valor_convertido_saida (R$)";"valor_convertido_entrada (R$)";"REF"
"farmacia";"26/02/2021";"ELECTRONDROGARIA PR";"9212";-52,86;52,86;0;01/02/2021
"mercado";"26/02/2021";"ELECTRONTRIMAIS SUP";"9212";-97,53;97,53;0;01/02/2021
"saldo";"28/02/2021";"SALDO DO DIA";;;0;0;01/02/2021
"saldo";"26/02/2021";"SALDO ANTERIOR";;;0;0;01/03/2021
"saque";"01/03/2021";"SAQUE 24H 11833548 28/02";"5086";-100;100;0;01/03/2021
"farmacia";"01/03/2021";"ELECTRONDROGARIA PR";"9212";-75,9;75,9;0;01/03/2021
"compras";"01/03/2021";"ELECTRONFARMACIAS P";"9212";-35,8;35,8;0;01/03/2021
"alimentação";"01/03/2021";"ELECTRONMEU CHAPA B";"9212";-63,6;63,6;0;01/03/2021
"frango";"01/03/2021";"ELECTRONPAG*Frigott";"9212";-59;59;0;01/03/2021
"compras";"01/03/2021";"ELECTRONPAG*Geraldo";"9212";-6;6;0;01/03/2021
"farmacia";"01/03/2021";"ELECTRONPROMOFARMA";"9212";-37,29;37,29;0;01/03/2021
"farmacia";"01/03/2021";"ELECTRONR C P FARMA";"9212";-90,68;90,68;0;01/03/2021
"compras";"01/03/2021";"ELECTRONW PAPER";"9212";-21,1;21,1;0;01/03/2021
"salario";"01/03/2021";"PIX TRANSF  ANDRE N27/02";"9953";3926,79;0;3926,79;01/03/2021
"banco";"01/03/2021";"IOF";;-10,58;10,58;0;01/03/2021
"saldo";"01/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
"compras";"02/03/2021";"ELECTRONPAG*MONICAP";"9212";-11,9;11,9;0;01/03/2021
"mercado";"02/03/2021";"ELECTRONTRIMAIS II";"9212";-104,22;104,22;0;01/03/2021
"banco";"02/03/2021";"TAR PACOTE ITAU   FEV/21";"9293";-79,5;79,5;0;01/03/2021
"saldo";"02/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
"enfermagem";"03/03/2021";"INT PAG TIT 109006113581";"4175";-443,34;443,34;0;01/03/2021
"condominio";"03/03/2021";"INT PAG TIT 109049905525";"4175";-496,64;496,64;0;01/03/2021
"compras";"03/03/2021";"ELECTRONPAG*DirceYu";"9212";-3;3;0;01/03/2021
"saldo";"03/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
"saque";"04/03/2021";"SAQUE 24H 10024040";"5086";-20;20;0;01/03/2021
"natação";"04/03/2021";"ELECTRONCENTAURO SH";"9212";-49,99;49,99;0;01/03/2021
"compras";"04/03/2021";"ELECTRONPAG*MONICAP";"9212";-18,4;18,4;0;01/03/2021
"michelle";"04/03/2021";"PIX TRANSF  MICHELL04/03";"9925";1000;0;1000;01/03/2021
"saldo";"04/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
"banco";"05/03/2021";"LIS/JUROS     21 DIAS";;-36,96;36,96;0;01/03/2021
"saldo";"05/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
"saque";"08/03/2021";"SAQUE 24H 16333155 07/03";"5086";-100;100;0;01/03/2021
"compras";"08/03/2021";"ELECTRONBD";"9212";-11;11;0;01/03/2021
